ID,term,category,appliesTo,definition,category2,dataSource
2261,scutiform,shape,,"Relatively thin with opposite broad oblong faces, planate to shallowly concave-convex, sometimes thickened about the periphery such that each face has a marginal rim; like an oblong shield.  See also scutellate (platter-shaped, scutelliform), which is not",shape,
2262,second_glume,structure,,The upper (distal) member of a pair of small bracts inserted at the base of a grass (Poaceae) spikelet.,STRUCTURE,
2263,secondary_root,structure,,Any root branch that originates directly or indirectly from a primary root.,STRUCTURE,
2264,secondary_vein,structure,,"A strand belonging to the second order of vasculature in a leaf or other basically laminar structure, except when that is the ultimate order (consisting of veinlets); branching directly from a primary vein or, with undiminished diameter, from another stra",STRUCTURE,
2265,sectile,architecture,pollinium,"Having partially separated sectors, as though cut.",architecture,
2266,secund,architecture,inflorescence,Having the pedicels oriented such that the main bodies of all the flowers lie to one side of the bearing axis.,architecture,
2267,secund,architecture,stem,Having the petioles oriented such that the main bodies of all the leaves lie to one side of the bearing stem.,architecture,
2268,seed,structure,,"A mature or ripened ovule containing an embryonic sporophyte and a nutritive tissue (endosperm or perisperm) with stored food that sustains the initial growth of the embryo upon germination, except when such food reserve is stored instead in the cotyledon",STRUCTURE,
2269,seed_coat,structure,,"The outer protective layer of a seed, developed from the ovular integument(s).",STRUCTURE,
2270,seed_leaf,structure,,"Any of the one or more primary foliar structures of an embryonic seed plant, proximal to all succeeding leaf primordia; sometimes serving as a storage organ for food reserves in the seed, as in peas and beans.",STRUCTURE,
2271,_seeded,architecture,fruit,"Having the number of seeds indicated by the prefix; as in six-seeded, many-seeded.",architecture,
2272,seedling,PLANT,,A plant in the first stages of its growth following emergence from the seed.,PLANT,
2273,segment,structure,,"Any generally convex, major peripheral protrusion or component sector that is delimited by concavities in the surface or margin and that is not proximally distinct from the remainder of the whole.",STRUCTURE,
2274,segmented,shape,,Having two or more major component sectors or peripheral protrusions that are delimited by concavities in the surface or margin and that are not proximally distinct from the remainder of the whole.  The meanings of this term and its approximate synonyms s,shape,
2277,_segmented,shape,,Having the number of segments indicated by the prefix; as in ten-segmented.,shape,
2278,self-fertilizing,reproduction,taxon,Having fertilization regularly involving gametes derived from the same plant.,reproduction,
2279,selfing,reproduction,taxon,Having fertilization regularly involving gametes derived from the same plant.,reproduction,
2280,sellaeform,shape,,See selliform.,shape,
2281,selliform,shape,,"Relatively thin, broad and long, strongly compound-curved, concavely from end to end and convexly from side to side; like the generalized shape of a saddle.",shape,
2283,semicircular,shape,,"Forming an incomplete circle, like the letter C.",arrangement,
2284,semicraspedodromous,venation,,"Having a single median primary vein that branches to either side along the length of the lamina, each secondary vein running thence toward and bifurcate near the margin, one branch terminating at the margin, the other upwardly arcuate and merging with the",venation,
