ID,term,category,appliesTo,definition,category2,dataSource
247,barbel,structure,,A small barb.,STRUCTURE,
248,barbella,structure,,A small barb.,STRUCTURE,
249,barbellae,structure,,A small barb.,STRUCTURE,
250,barbellate,architecture,,Bearing one or more barbels.,architecture,q
251,barbellula,structure,,A small barbel (barbella); a very diminutive barb.,STRUCTURE,
252,barbellulae,structure,,A small barbel (barbella); a very diminutive barb.,STRUCTURE,
253,barbellulate,architecture,,Bearing one or more barbellules (barbellulae).,architecture,
254,barbellule,structure,,A small barbel (barbella); a very diminutive barb.,STRUCTURE,
255,bark,structure,,"The outermost portion of any shoot or root axis having secondary growth, consisting of all those tissues outside the vascular cambium; sometimes exhibiting zonation into inner, living bark and outer, dead bark; usually described only as to external appear",STRUCTURE,
#,basal,insertion,,At or very near the developmental origin (base) of a structure.,insertion,
257,basal,position,,At or very near the developmental origin (base) of a structure.,position,
258,basal_cell,structure,,Any of the ring of cells forming the lowermost (proximal) portion of an antheridial wall.,STRUCTURE,
#,base,structure,,"Configuration of the lowermost or proximal portion of a structure, its extent determined somewhat subjectively in relation to the shape of the structure as a whole.  The concept of base varies from one descriptive context to another, since the base is not",CHARACTER,
260,basicauliramous,architecture,plant,Having the stem(s) branching at or near the base.  See also basiramous.,architecture,
#,basicaulous,insertion,,At or very near the stem base.,insertion,
262,basicaulous,position,,At or very near the stem base.,position,
263,basifixed,fixation,,Attached at its base.,fixation,
264,basipetal,development,,"Proceeding toward the base, thus more advanced apically or distally than basally or proximally within a given frame of reference.",development,
265,basiramous,architecture,axis,Branching at or near the base.  See also basicauliramous.,architecture,
266,basiscopic,orientation,subordinate structure,"Directed, facing, or pointing ('looking') toward the base of the bearing structure.",orientation,
267,beaded,shape,,"Elongate, relatively slender, transversely round, and more or less regularly constricted over its length, the whole straight or variously curved; like a necklace of beads.",shape,
268,beak,structure,,"A relatively long, tapering, more or less rigid and pointed enation or termination.",STRUCTURE,
269,beak,structure,,"The inner, horn-like segment of a coronal lobe; esp. in Asclepiadaceae.",STRUCTURE,
270,beaked,shape,,"Terminating in a relatively long, tapering, more or less rigid point.  See also small-beaked (rostellate).",shape,
271,beaklet,structure,,A small beak or rostrum.,STRUCTURE,
272,beaklet,structure,,A sterile excrescent stigma lobe protruding between the anther and the functional stigma lobes of a column; sometimes forming one or more viscidia at pollinium maturity; esp. in Orchidaceae.,STRUCTURE,
273,beard,structure,,"A growth of relatively long, erect, flexible, capillary trichomes from one or more limited sectors of a structure's surface.",STRUCTURE,
274,bearded,pubescence,,"Having one or more limited sectors bearing relatively long, erect, flexible, capillary trichomes.",pubescence,
275,bell-shaped,shape,,"Circular in cross-section, inflated proximally, thence broadening gradually to a flared distal portion.",shape,
276,bellied,shape,,"Bulging unilaterally near the middle, as though with a belly.",shape,
277,bent,shape,,"Having an abrupt bend at some point along its length.  See also declinate (inclinate), geniculate (kneed), inflexed, reflexed.",shape,
278,berry,structure,fruit,"Indehiscent, few- to many-seeded, and derived from a single, simple or compound ovary; fleshy throughout except for the seeds.  See also hesperidium, pepo.",nominative,
279,berry-like,architecture,fruit,Having the structure and texture of a berry.,architecture,
281,bi_,prefix,,"Indicating presence of two hierarchical orders of the type of entity or pattern denoted by the term's stem; as in bicrenate, bipinnate.  See also entries for particular terms beginning with this prefix whose meanings, at least in some applications, are mo",prefix,
282,bicolor,coloration,,Having two surfaces of different colors; esp. leaves with differently colored adaxial and abaxial surfaces.,coloration,
283,bicolorous,coloration,,Having two surfaces of different colors; esp. leaves with differently colored adaxial and abaxial surfaces.,coloration,
284,biconvex,shape,,"Elongate, narrow, broadest at the middle, attenuate to acute ends, the sides convex; like the outline of a double-convex lens viewed from its edge.",shape,
286,biennial,duration,"plant, stem","Normally living two years; germinating or forming and growing vegetatively during one cycle of seasons, then reproducing sexually and dying during the following one.",duration,
287,biennial,life_style,plant,Of biennial duration.,nominative,
288,bifacial,architecture,,Having two opposite broad surfaces that differ distinctly in appearance.,architecture,
289,bifurcate,shape,,"Having two terminal, antrorse branches or divisions arising from a common point or level, like the prongs of a fork.",shape,
292,bigeminate,architecture,foliaceous structure,"Compound with two orders of leaflets, each order bifoliolate.",architecture,
293,bilabiate,architecture,"perianth, calyx, corolla","Strongly zygomorphic with connate and/or coherent members whose distal portions form two unequal, opposing, lip-like structures, one adaxial, one abaxial.  See also gaping (personate, ringent).",architecture,
294,birettaform,shape,,Approximately square in cross section and shallowly convex at the top; like a biretta (Roman Catholic cleric's hat).,shape,
295,bisexual,reproduction,,Having functional reproductive structures of both sexes.  See also perfect.,reproduction,
296,bladder,structure,,"A small, membranous, hollow, flask-shaped, insectivorous structure borne on a submerged leaf; esp. in Lentibulariaceae.",STRUCTURE,
297,blade,structure,,"The expanded, more or less planate, distal portion, when present, of a leaf, leaflet or bract.",STRUCTURE,
298,blister,FEATURE,,"A relatively coarse, rounded protrusion or convexity.  See also papilla.",FEATURE,
299,blistered,relief,,"Having relatively coarse, irregularly disposed, rounded protrusions or convexities resembling blisters.  See also papillate (papillose).",relief,
300,blotch,FEATURE,,An area that differs in color from the rest of a structure's surface.  See also eyespot.,FEATURE,
301,blotched,coloration,,Having one or more areas that differ in color from the rest of the surface.  See also eyespotted.,coloration,
302,blunt,shape,,Bluntly angular; having an angular tip whose generalized sides intersect at an angle of 90-�+� or more.,shape,q
304,boat-shaped,shape,,"Like the generalized form of a boat hull, the walls relatively thin to moderately thick, the interior essentially empty and open along one side.",shape,
305,bole,structure,,"The relatively stout, columnar, main stem of a distinct aboveground portion of a tree.",STRUCTURE,
306,bony,texture,,"Very hard and rather brittle, like bone.",texture,
307,bossed,shape,,Having an umbo.,shape,
308,bostryx,structure,inflorescence,"A cyme in which each axial segment branches to only one side, and all branch to the same side, the whole thus appearing to have an elongate main axis that curves or coils toward its unbranched side.  See also scorpioid cyme.",nominative,
